Year,Month,Prime Minister,Rate,General Election
2010,June,Cameron,31,No
2010,July,Cameron,23,No
2010,August,Cameron,,No
2010,September,Cameron,24,No
2010,October,Cameron,15,No
2010,November,Cameron,1,No
2010,December,Cameron,4,No
2011,January,Cameron,-14,No
2011,February,Cameron,-13,No
2011,March,Cameron,-8,No
2011,April,Cameron,-3,No
2011,May,Cameron,-3,No
2011,June,Cameron,-2,No
2011,July,Cameron,-15,No
2011,August,Cameron,-12,No
2011,September,Cameron,-13,No
2011,October,Cameron,-14,No
2011,November,Cameron,-14,No
2011,December,Cameron,-7,No
2012,January,Cameron,-1,No
2012,February,Cameron,-11,No
2012,March,Cameron,-11,No
2012,April,Cameron,-20,No
2012,May,Cameron,-28,No
2012,June,Cameron,-24,No
2012,July,Cameron,-27,No
2012,August,Cameron,-16,No
2012,September,Cameron,-24,No
2012,October,Cameron,-29,No
2012,November,Cameron,-14,No
2012,December,Cameron,-19,No
2013,January,Cameron,-25,No
2013,February,Cameron,-24,No
2013,March,Cameron,-30,No
2013,April,Cameron,-28,No
2013,May,Cameron,-21,No
2013,June,Cameron,-24,No
2013,July,Cameron,-16,No
2013,August,Cameron,-17,No
2013,September,Cameron,-20,No
2013,October,Cameron,-14,No
2013,November,Cameron,-21,No
2013,December,Cameron,-13,No
2014,January,Cameron,-14,No
2014,February,Cameron,-18,No
2014,March,Cameron,-19,No
2014,April,Cameron,-18,No
2014,May,Cameron,-13,No
2014,June,Cameron,-18,No
2014,July,Cameron,-19,No
2014,August,Cameron,-16,No
2014,September,Cameron,-15,No
2014,October,Cameron,-17,No
2014,November,Cameron,-15,No
2014,December,Cameron,-21,No
2015,January,Cameron,-11,No
2015,February,Cameron,-14,No
2015,March,Cameron,-16,No
2015,April,Cameron,-14,No
2015,May,Cameron,,Yes
2015,June,Cameron,7,No
2015,July,Cameron,-7,No
2015,August,Cameron,,No
2015,September,Cameron,-10,No
2015,October,Cameron,-9,No
2015,November,Cameron,-15,No
2015,December,Cameron,-14,No
2016,January,Cameron,-9,No
2016,February,Cameron,-15,No
2016,March,Cameron,-25,No
2016,April,Cameron,-19,No
2016,May,Cameron,-30,No
2016,June,Cameron,-23,No
2016,July,Cameron,-38,No
2016,August,May,35,No
2016,September,May,27,No
2016,October,May,16,No
2016,November,May,24,No
2016,December,May,15,No
2017,January,May,6,No
2017,February,May,17,No
2017,March,May,13,No
2017,April,May,19,No
2017,May,May,20,No
2017,June,May,-7,No
2017,July,May,-25,Yes
2017,August,May,,No
2017,September,May,-17,No
2017,October,May,,No
2017,November,May,-21,No
2017,December,May,,No
2018,January,May,-17,No
2018,February,May,,No
2018,March,May,-11,No
2018,April,May,-17,No
2018,May,May,-19,No
2018,June,May,-23,No
2018,July,May,-32,No
2018,August,May,,No
2018,September,May,-33,No
2018,October,May,-32,No
2018,November,May,,No
2018,December,May,-22,No
2019,January,May,,No
2019,February,May,-25,No
2019,March,May,-36,No
2019,April,May,,No
2019,May,May,-43,No
2019,June,May,-44,No
2019,July,Johnson,-7,No
2019,August,Johnson,,No
2019,September,Johnson,-18,No
2019,October,Johnson,2,No
2019,November,Johnson,,No
2019,December,Johnson,-20,Yes
2020,January,Johnson,,No
2020,February,Johnson,3,No
2020,March,Johnson,14,No
2020,April,Johnson,,No
2020,May,Johnson,,No
2020,June,Johnson,-1,No
2020,July,Johnson,,No
2020,August,Johnson,-1,No
2020,September,Johnson,-14,No
2020,October,Johnson,-26,No
2020,November,Johnson,,No
2020,December,Johnson,-8,No
2021,January,Johnson,,No
2021,February,Johnson,-9,No
2021,March,Johnson,-7,No
2021,April,Johnson,-6,No
2021,May,Johnson,,No
2021,June,Johnson,-3,No
2021,July,Johnson,-16,No
2021,August,Johnson,-11,No
2021,September,Johnson,-12,No
2021,October,Johnson,,No
2021,November,Johnson,-27,No
2021,December,Johnson,-37,No
2022,January,Johnson,-46,No
2022,February,Johnson,,No
2022,March,Johnson,-28,No
2022,April,Johnson,-33,No
2022,May,Johnson,-36,No
2022,June,Johnson,-44,No
2022,July,Johnson,-45,No
2022,August,Johnson,,No
2022,September,Truss,-2,No
2022,October,Truss,-51,No
2022,November,Sunak,-9,No
2022,December,Sunak,-21,No
2023,January,Sunak,-29,No
2023,February,Sunak,-32,No
2023,March,Sunak,-22,No
2023,April,Sunak,,No
2023,May,Sunak,-25,No
2023,June,Sunak,-31,No
2023,July,Sunak,-37,No
2023,August,Sunak,,No
2023,September,Sunak,-44,No
2023,October,Sunak,-37,No
2023,November,Sunak,-45,No
2023,December,Sunak,-48,No
2024,January,Sunak,-46,No
2024,February,Sunak,-54,No
2024,March,Sunak,,No
2024,April,Sunak,-59,No
2024,May,Sunak,-55,No
2024,June,Sunak,-54,No
2024,July,Sunak,-35,Yes
2024,August,Sunak,,No
2024,September,Sunak,-36,No
