Year,Month,Volume of Articles
2018,January,334
2018,February ,178
2018,March,105
2018,April,322
2018,May,192
2018,June,470
2018,July,194
2018,August,160
2018,September,168
2018,October,222
2018,November,305
2018,December,186
2019,January,446
2019,February,216
2019,March,107
2019,April,120
2019,May,153
2019,June,219
2019,July,181
2019,August,271
2019,September,189
2019,October,243
2019,November,178
2019,December,140
2020,January,141
2020,February,214
2020,March,221
2020,April,120
2020,May,200
2020,June,210
2020,July,202
2020,August,583
2020,September,305
2020,October,380
2020,November,264
2020,December,195
2021,January,225
2021,February,127
2021,March,408
2021,April,144
2021,May,262
2021,June,273
2021,July,490
2021,August,380
2021,September,404
2021,October,283
2021,November,790
2021,December,375
2022,January,303
2022,February,206
2022,March,366
2022,April,623
2022,May,258
2022,June,529
2022,July,397
2022,August,462
2022,September,296
2022,October,527
2022,November,996
2022,December,731
2023,January,360
2023,February,365
2023,March,1611
2023,April,677
2023,May,745
2023,June,688
2023,July,802
2023,August,992
2023,September,754
2023,October,577
2023,November,772
2023,December,872
2024,January,875
2024,February,649
2024,March,556
2024,April,644
2024,May,677
2024,June,637
2024,July,565
2024,August,675
2024,September,761
2024,October,561
2024,November,738
2024,December,519
2025,January,758
2025,February,863
2025,March,632
2025,April,671
2025,May,870
2025,June,876
2025,July,1264
2025,August,1651
2025,September,1474
2025,October,953
2025,November,815
2025,December,651
